,STNID,ZIP,POSTOFFICE
841,USC00048702,96130,Susanville
842,USC00048713,95642,Jackson
843,USC00048752,93268,Taft
844,USC00048758,96145,Tahoe
845,USC00048826,93561,Tehachapi
846,USC00048829,93561,Tehachapi
847,USC00048839,93560,Rosamond
848,USC00048873,96130,Susanville
849,USC00048904,91320,Newbury
850,USC00048917,93271,Three
851,USC00048928,95255,West
852,USC00048967,90272,Pacific
853,USC00048999,95304,Tracy
854,USC00049001,94514,Byron
855,USC00049026,96052,Lewiston
856,USC00049035,93562,Trona
857,USC00049043,96161,Truckee
858,USC00049053,96134,Tulelake
859,USC00049073,95380,Turlock
860,USC00049087,92620,Irvine
861,USC00049099,92277,Twentynine
862,USC00049102,92277,Twentynine
863,USC00049105,96120,Markleeville
864,USC00049111,93454,Santa
865,USC00049122,95482,Ukiah
866,USC00049124,95482,Ukiah
867,USC00049152,90024,Los
868,USC00049185,94605,Oakland
869,USC00049200,95688,Vacaville
870,USC00049273,95448,Healdsburg
871,USC00049285,93001,Ventura
872,USC00049325,92394,Victorville
873,USC00049345,93510,Acton
874,USC00049351,96105,Chilcoot
